Order_ID,Order_Date,Customer_ID,Product_ID,Region,Customer_Segment,Product_Category,Quantity,Unit_Price,Discount,Sales_Amount,Profit,Sales_Channel
700001,2024-07-26,1173,2014,North,Small Business,Appliances,7,337.46,0.0,2362.22,466.23,Partner
700002,2024-11-08,1035,2026,West,Corporate,Office Supplies,4,1160.05,0.15,3944.17,1165.59,Online
700003,2024-09-17,1144,2037,North,Corporate,Electronics,4,623.95,0.0,2495.8,570.69,Retail
700004,2024-02-18,1014,2069,West,Small Business,Furniture,2,902.12,0.05,1714.03,480.17,Online
700005,2024-04-30,1099,2073,West,Small Business,Office Supplies,3,735.86,0.15,1876.44,607.37,Partner
700006,2024-07-07,1041,2075,East,Small Business,Furniture,6,694.04,0.05,3956.03,669.95,Retail
700007,2024-04-08,1004,2071,Central,Corporate,Office Supplies,2,657.73,0.15,1118.14,221.74,Retail
700008,2024-08-29,1059,2060,West,Consumer,Furniture,8,795.15,0.0,6361.2,1870.69,Partner
700009,2024-07-21,1126,2032,South,Small Business,Electronics,2,813.79,0.15,1383.44,282.71,Partner
700010,2024-11-24,1051,2015,South,Small Business,Office Supplies,9,364.66,0.1,2953.75,970.85,Online
700011,2024-04-20,1065,2001,South,Corporate,Electronics,9,418.85,0.15,3204.2,482.02,Retail
700012,2024-11-13,1007,2080,South,Consumer,Office Supplies,8,1060.42,0.05,8059.19,1995.33,Partner
700013,2024-09-10,1167,2015,North,Corporate,Appliances,2,908.88,0.0,1817.76,384.87,Retail
700014,2024-08-21,1057,2006,North,Consumer,Office Supplies,3,477.41,0.05,1360.62,398.62,Partner
700015,2024-09-10,1179,2082,East,Small Business,Office Supplies,5,614.7,0.0,3073.5,815.42,Online
700016,2024-09-03,1184,2034,Central,Small Business,Appliances,9,393.53,0.0,3541.77,657.86,Retail
700017,2024-05-02,1123,2082,East,Corporate,Electronics,3,918.44,0.15,2342.02,405.42,Retail
700018,2024-10-31,1011,2016,South,Consumer,Appliances,9,636.08,0.2,4579.78,1188.96,Online
700019,2024-08-26,1109,2081,East,Small Business,Appliances,6,295.95,0.05,1686.91,538.56,Retail
700020,2024-12-22,1013,2074,Central,Corporate,Furniture,6,98.67,0.0,592.02,206.09,Partner
700021,2024-03-25,1156,2087,East,Corporate,Electronics,9,285.41,0.1,2311.82,431.92,Online
700022,2024-11-11,1017,2033,Central,Consumer,Appliances,6,730.97,0.1,3947.24,1338.47,Online
700023,2024-05-28,1080,2024,East,Corporate,Electronics,7,1121.37,0.15,6672.15,1162.47,Partner
700024,2024-07-23,1191,2062,Central,Small Business,Appliances,7,1088.72,0.0,7621.04,2483.73,Online
700025,2024-07-03,1130,2023,North,Small Business,Electronics,5,840.1,0.1,3780.45,988.85,Retail
700026,2024-06-18,1096,2085,South,Corporate,Furniture,2,28.16,0.1,50.69,13.73,Online
700027,2024-05-13,1186,2040,Central,Corporate,Furniture,4,579.54,0.05,2202.25,437.45,Retail
700028,2024-08-17,1023,2021,West,Small Business,Appliances,5,322.42,0.1,1450.89,323.3,Online
700029,2024-10-01,1103,2095,West,Corporate,Appliances,4,627.47,0.0,2509.88,641.27,Partner
700030,2024-02-20,1196,2080,South,Corporate,Office Supplies,7,881.43,0.15,5244.51,903.81,Online
700031,2024-08-24,1061,2090,Central,Small Business,Electronics,4,294.78,0.0,1179.12,293.38,Online
700032,2024-02-18,1144,2089,East,Corporate,Furniture,8,584.62,0.05,4443.11,817.18,Partner
700033,2024-11-05,1015,2073,North,Corporate,Appliances,9,1189.05,0.15,9096.23,1907.41,Partner
700034,2024-09-18,1123,2087,West,Consumer,Furniture,6,233.8,0.1,1262.52,253.16,Partner
700035,2024-03-21,1066,2054,South,Corporate,Furniture,8,854.88,0.1,6155.14,1038.52,Retail
700036,2024-10-18,1078,2024,West,Consumer,Office Supplies,3,219.07,0.2,525.77,116.88,Partner
700037,2024-09-05,1198,2072,West,Small Business,Furniture,8,1129.22,0.2,7227.01,2418.58,Online
700038,2024-09-25,1188,2096,West,Corporate,Appliances,6,398.14,0.1,2149.96,556.96,Online
700039,2024-08-28,1113,2094,North,Consumer,Electronics,9,553.96,0.2,3988.51,1159.25,Retail
700040,2024-12-04,1166,2028,East,Consumer,Office Supplies,6,811.49,0.2,3895.15,659.76,Online
700041,2024-09-28,1054,2046,Central,Corporate,Office Supplies,1,835.77,0.05,793.98,232.14,Retail
700042,2024-12-12,1088,2022,East,Small Business,Office Supplies,1,552.56,0.15,469.68,105.96,Retail
700043,2024-01-29,1144,2092,East,Consumer,Appliances,8,460.64,0.05,3500.86,655.29,Partner
700044,2024-05-17,1055,2026,South,Small Business,Office Supplies,5,210.45,0.05,999.64,155.92,Retail
700045,2024-05-13,1105,2006,West,Corporate,Appliances,9,742.95,0.2,5349.24,1473.54,Retail
700046,2024-11-21,1185,2075,North,Consumer,Appliances,8,913.52,0.2,5846.53,1932.87,Online
700047,2024-08-23,1007,2062,West,Consumer,Office Supplies,8,223.45,0.0,1787.6,382.96,Partner
700048,2024-04-28,1145,2032,West,Corporate,Office Supplies,2,963.1,0.05,1829.89,477.37,Online
700049,2024-11-28,1184,2036,East,Corporate,Electronics,9,951.08,0.15,7275.76,1279.94,Retail
700050,2024-10-13,1001,2012,North,Corporate,Electronics,4,249.27,0.1,897.37,239.22,Partner
700051,2024-10-13,1058,2030,Central,Small Business,Furniture,6,533.26,0.2,2559.65,468.47,Online
700052,2024-08-18,1131,2056,South,Consumer,Appliances,3,417.28,0.1,1126.66,300.99,Partner
700053,2024-09-07,1061,2027,West,Corporate,Office Supplies,3,532.33,0.1,1437.29,441.68,Retail
700054,2024-08-06,1036,2001,West,Consumer,Appliances,8,823.15,0.1,5926.68,1050.97,Partner
700055,2024-05-02,1065,2030,Central,Small Business,Furniture,4,970.5,0.15,3299.7,958.55,Retail
700056,2024-06-09,1066,2083,South,Corporate,Office Supplies,7,423.37,0.2,2370.87,796.3,Online
700057,2024-04-22,1108,2081,South,Corporate,Appliances,2,1040.9,0.05,1977.71,386.84,Online
700058,2024-03-04,1058,2080,East,Small Business,Furniture,3,192.93,0.05,549.85,142.59,Partner
700059,2024-07-26,1156,2094,East,Corporate,Appliances,1,760.28,0.15,646.24,169.0,Partner
700060,2024-06-30,1166,2070,Central,Small Business,Furniture,4,407.15,0.1,1465.74,429.71,Partner
700061,2024-11-18,1011,2099,North,Small Business,Electronics,8,434.91,0.2,2783.42,752.42,Partner
700062,2024-05-01,1113,2068,East,Corporate,Office Supplies,1,107.56,0.2,86.05,27.18,Online
700063,2024-03-12,1013,2015,West,Consumer,Office Supplies,9,316.54,0.0,2848.86,689.77,Partner
700064,2024-02-03,1105,2071,South,Corporate,Appliances,9,1003.66,0.15,7678.0,1473.46,Retail
700065,2024-01-09,1077,2008,North,Corporate,Furniture,5,35.7,0.1,160.65,50.05,Partner
700066,2024-02-28,1101,2063,East,Consumer,Furniture,3,907.7,0.15,2314.64,354.36,Online
700067,2024-04-13,1054,2012,East,Consumer,Appliances,6,20.78,0.2,99.74,31.78,Retail
700068,2024-10-07,1062,2032,West,Consumer,Appliances,2,340.16,0.15,578.27,109.88,Retail
700069,2024-10-08,1034,2049,South,Small Business,Appliances,3,440.09,0.15,1122.23,300.44,Partner
700070,2024-05-06,1088,2043,East,Consumer,Office Supplies,7,1094.86,0.0,7664.02,2630.89,Online
700071,2024-04-17,1154,2094,South,Consumer,Furniture,4,880.0,0.0,3520.0,849.96,Retail
700072,2024-03-05,1152,2077,South,Consumer,Furniture,1,565.61,0.0,565.61,168.79,Retail
700073,2024-06-02,1054,2053,North,Consumer,Electronics,9,1089.6,0.0,9806.4,3203.85,Partner
700074,2024-08-08,1091,2055,West,Consumer,Appliances,5,430.56,0.2,1722.24,403.25,Retail
700075,2024-07-25,1056,2023,North,Corporate,Office Supplies,5,82.12,0.2,328.48,101.66,Retail
700076,2024-10-30,1007,2074,North,Small Business,Furniture,3,735.26,0.0,2205.78,636.07,Partner
700077,2024-01-06,1133,2088,Central,Small Business,Furniture,4,822.37,0.0,3289.48,1093.21,Online
700078,2024-06-20,1052,2045,Central,Corporate,Electronics,5,687.45,0.1,3093.52,956.11,Retail
700079,2024-01-19,1056,2025,Central,Corporate,Office Supplies,3,745.55,0.05,2124.82,456.48,Partner
700080,2024-10-22,1094,2022,Central,Corporate,Electronics,6,529.56,0.0,3177.36,814.61,Partner
700081,2024-09-02,1150,2061,North,Consumer,Furniture,7,612.67,0.05,4074.26,693.61,Partner
700082,2024-09-11,1095,2058,East,Small Business,Electronics,4,1075.28,0.15,3655.95,719.3,Partner
700083,2024-12-18,1096,2030,Central,Consumer,Appliances,2,546.66,0.2,874.66,236.09,Retail
700084,2024-05-12,1191,2014,East,Consumer,Appliances,9,359.74,0.2,2590.13,614.34,Partner
700085,2024-06-11,1123,2086,East,Consumer,Office Supplies,8,1173.41,0.15,7979.19,1376.59,Online
700086,2024-02-20,1141,2065,North,Small Business,Appliances,2,209.45,0.2,335.12,53.68,Retail
700087,2024-12-18,1157,2039,West,Corporate,Furniture,8,931.64,0.1,6707.81,2232.37,Online
700088,2024-11-09,1135,2009,West,Consumer,Appliances,2,980.21,0.2,1568.34,433.08,Partner
700089,2024-05-24,1166,2088,South,Small Business,Office Supplies,3,743.18,0.2,1783.63,328.72,Partner
700090,2024-08-15,1073,2005,East,Corporate,Office Supplies,9,915.79,0.05,7830.0,1718.42,Retail
700091,2024-01-02,1044,2061,West,Consumer,Office Supplies,5,484.02,0.0,2420.1,700.41,Retail
700092,2024-11-03,1006,2084,East,Small Business,Appliances,6,96.34,0.2,462.43,121.1,Partner
700093,2024-01-02,1003,2021,West,Consumer,Furniture,6,440.21,0.05,2509.2,633.72,Online
700094,2024-01-28,1105,2006,East,Consumer,Furniture,1,391.89,0.15,333.11,89.98,Online
700095,2024-06-10,1094,2099,East,Corporate,Office Supplies,6,961.42,0.1,5191.67,1779.59,Partner
700096,2024-09-03,1081,2094,West,Consumer,Electronics,8,591.32,0.1,4257.5,1315.27,Online
700097,2024-02-02,1170,2087,East,Small Business,Furniture,9,175.36,0.15,1341.5,358.54,Partner
700098,2024-10-14,1087,2088,North,Small Business,Office Supplies,6,607.91,0.15,3100.34,759.64,Online
700099,2024-07-13,1180,2037,East,Consumer,Furniture,2,184.54,0.2,295.26,53.8,Online
700100,2024-12-08,1037,2023,North,Corporate,Office Supplies,8,535.45,0.1,3855.24,840.62,Retail
700101,2024-11-26,1172,2015,East,Corporate,Office Supplies,9,543.07,0.0,4887.63,1028.9,Partner
700102,2024-08-09,1063,2097,North,Small Business,Office Supplies,9,907.71,0.2,6535.51,2225.73,Online
700103,2024-12-11,1070,2048,Central,Consumer,Appliances,1,626.98,0.15,532.93,185.53,Partner
700104,2024-12-03,1151,2069,North,Corporate,Appliances,9,144.56,0.05,1235.99,408.25,Partner
700105,2024-03-08,1084,2055,Central,Small Business,Furniture,1,169.72,0.15,144.26,37.93,Online
700106,2024-01-02,1006,2033,West,Small Business,Office Supplies,2,572.4,0.05,1087.56,211.6,Online
700107,2024-03-06,1165,2098,South,Consumer,Appliances,5,311.17,0.15,1322.47,278.05,Retail
700108,2024-07-26,1043,2042,North,Consumer,Electronics,8,1057.56,0.05,8037.46,2295.0,Online
700109,2024-06-10,1122,2041,West,Consumer,Furniture,5,938.78,0.2,3755.12,1208.05,Partner
700110,2024-02-19,1004,2018,West,Small Business,Furniture,8,669.7,0.0,5357.6,1404.94,Online
700111,2024-02-03,1034,2070,South,Small Business,Office Supplies,6,418.29,0.1,2258.77,536.08,Retail
700112,2024-09-24,1057,2036,South,Small Business,Appliances,1,753.58,0.05,715.9,163.43,Partner
700113,2024-09-24,1038,2020,South,Consumer,Appliances,4,769.21,0.15,2615.31,868.15,Retail
700114,2024-07-24,1078,2075,Central,Corporate,Appliances,2,153.38,0.0,306.76,94.93,Retail
700115,2024-09-03,1036,2004,North,Corporate,Office Supplies,3,635.88,0.2,1526.11,326.76,Online
700116,2024-09-02,1025,2014,Central,Corporate,Furniture,7,1144.95,0.05,7613.92,1685.51,Online
700117,2024-07-02,1103,2038,Central,Corporate,Electronics,4,180.79,0.1,650.84,114.06,Partner
700118,2024-08-17,1167,2039,North,Consumer,Electronics,4,712.32,0.1,2564.35,886.95,Partner
700119,2024-05-05,1065,2095,Central,Consumer,Electronics,2,711.58,0.1,1280.84,257.88,Retail
700120,2024-03-22,1061,2035,East,Small Business,Furniture,5,158.78,0.05,754.2,203.39,Online
700121,2024-10-12,1022,2070,South,Corporate,Office Supplies,8,234.7,0.15,1595.96,269.01,Retail
700122,2024-04-17,1141,2036,South,Corporate,Appliances,3,662.09,0.1,1787.64,419.32,Retail
700123,2024-01-04,1157,2068,North,Corporate,Furniture,7,239.65,0.2,1342.04,380.25,Retail
700124,2024-04-04,1119,2077,South,Corporate,Appliances,6,1126.24,0.15,5743.82,1539.39,Retail
700125,2024-02-08,1169,2019,Central,Consumer,Electronics,5,698.44,0.15,2968.37,798.28,Partner
700126,2024-12-14,1194,2074,East,Corporate,Appliances,3,263.26,0.1,710.8,230.52,Partner
700127,2024-07-12,1084,2098,East,Corporate,Appliances,1,621.48,0.1,559.33,157.7,Online
700128,2024-10-24,1035,2092,West,Consumer,Appliances,4,355.24,0.15,1207.82,226.79,Partner
700129,2024-09-14,1073,2059,South,Small Business,Electronics,6,968.25,0.0,5809.5,1034.56,Retail
700130,2024-08-08,1164,2085,East,Small Business,Office Supplies,8,365.69,0.1,2632.97,689.06,Partner
700131,2024-03-21,1151,2055,East,Corporate,Electronics,1,1169.56,0.15,994.13,164.49,Retail
700132,2024-07-08,1040,2055,East,Small Business,Furniture,3,1002.92,0.05,2858.32,646.16,Retail
700133,2024-08-25,1131,2019,East,Consumer,Electronics,2,813.33,0.15,1382.66,267.16,Online
700134,2024-10-08,1062,2099,East,Corporate,Furniture,4,26.87,0.15,91.36,31.52,Online
700135,2024-04-30,1094,2093,East,Small Business,Appliances,8,340.93,0.0,2727.44,487.59,Online
700136,2024-01-11,1018,2069,North,Consumer,Office Supplies,1,1048.68,0.2,838.94,165.94,Online
700137,2024-11-25,1184,2096,West,Consumer,Electronics,9,1038.74,0.05,8881.23,2830.13,Online
700138,2024-03-09,1028,2015,East,Small Business,Appliances,6,1010.73,0.05,5761.16,1664.8,Partner
700139,2024-01-29,1024,2084,West,Consumer,Furniture,1,891.89,0.15,758.11,119.21,Retail
700140,2024-05-24,1026,2009,Central,Corporate,Appliances,9,49.16,0.05,420.32,147.01,Partner
700141,2024-02-04,1086,2011,North,Corporate,Furniture,5,268.22,0.1,1206.99,355.75,Retail
700142,2024-02-11,1043,2014,East,Small Business,Appliances,9,1163.05,0.15,8897.33,2584.06,Online
700143,2024-01-01,1182,2097,West,Consumer,Appliances,8,1148.09,0.2,7347.78,1449.98,Retail
700144,2024-07-03,1028,2074,West,Corporate,Furniture,4,249.48,0.1,898.13,136.73,Partner
700145,2024-06-07,1150,2008,East,Corporate,Furniture,3,953.24,0.1,2573.75,736.44,Online
700146,2024-01-02,1084,2040,South,Corporate,Furniture,1,864.74,0.15,735.03,111.6,Partner
700147,2024-11-30,1090,2022,Central,Small Business,Furniture,9,77.3,0.0,695.7,241.51,Partner
700148,2024-07-12,1076,2036,East,Small Business,Electronics,7,295.59,0.0,2069.13,488.9,Partner
